id,author,rating,title,content,version,date,country,platform,vote_count
43d39ba2-0de2-4231-ab18-c8f429fe4137,Betty Scott,1,,you say I will get ink before I run out one or more cartridges are out of ink for days,20.0.0.5655,2026-07-30T16:41:35,us,Google Play,0
45b03164-4b08-4a1e-b9e5-814a0c5aff1a,Amber M,1,,"The ability to manually resize images and access all gallery albums has been removed. Please put these options back!! 7/30/2026 Still sucks. My printer is connected to internet but this app keeps saying it's not connected. Unplugged everything, router, printer and restarted my device still nothing. only way I can print is by sharing my images with hp printer service app. Can't print using this app.",26.2.0.6624,2026-07-30T14:37:45,us,Google Play,2
fe7e4ee5-673c-4b48-bd91-7b8ebbd621d0,JM L,1,,cannot connect. I will never buy hp again . support everything about hp sucks. I dont even want to give them 1 star.,26.2.0.6624,2026-07-30T12:17:06,us,Google Play,0
1a1f27d4-83c6-4838-a0bc-e53e496d7666,Raja Nacha,5,,very good. but youtube not much information,26.2.0.6624,2026-07-30T11:34:38,us,Google Play,0
790244b2-e1ed-4a55-bd47-0d19d1d74f1a,Zak Moore,5,,"OMG this app has heightened my printing experience 100% and taught me how much more there is to my printer than just printing.. it keeps me stocked up on ink, paper and let's me copy, print, fax or just print pictures for my wall... this HP app does it all for you and keeps you never running out of what you need while ensuring you will never have a excuse as to why you couldn't print and read or do instructions and you can even print from your phone!! Love U HP!!",26.2.0.6624,2026-07-30T10:50:11,us,Google Play,0
ebd8d032-10d1-4acf-8b01-f149196f594b,שי כץ,1,,does not work.,,2026-07-30T09:37:39,us,Google Play,0
ca4fadd5-1eb7-443f-aa4b-d1dc7445d350,Vaishnavi,5,,👍,,2026-07-30T09:13:45,us,Google Play,0
ffffb880-b08f-4c11-8e1d-24a1f71d6d9f,Scott Stevenson,1,,trash app doesnt even load.,26.2.0.6624,2026-07-30T09:12:18,us,Google Play,0
dd2462dd-cba2-4fa5-9ce8-23b481f078b6,Gana Traders,5,,good,,2026-07-30T05:57:51,us,Google Play,0
5e1857dd-2ad8-4040-96fa-08fa493b4b0d,Troy Hardin,1,,"trying to get my printer to work, no help at all.",26.2.0.6624,2026-07-30T02:25:51,us,Google Play,0
ce5087af-ef9c-4b27-952f-1f7d8b4b5158,Mr_AkJJ_G,1,,The app doesn't let me login nor connect my printer. It keeps showing me errors.,26.2.0.6624,2026-07-30T00:20:51,us,Google Play,0
b85fd120-2384-4654-8489-bae98175e8b1,Tina Marie (Red),1,,app doesn't want to open properly it has too many bugs and it doesn't do a lot of should do disappointed very disappointed,,2026-07-29T21:25:31,us,Google Play,0
85a55729-6a49-4821-8ac1-3fb89805d468,DeAnn Baker,1,,"it sucks. Difficult to use, have to open apps to do anything.",26.2.0.6624,2026-07-29T19:52:12,us,Google Play,0
ccf51c67-898f-4ebe-9338-3501130e5d16,Pedro Martinez,1,,bad... you guys are fired...,26.2.0.6624,2026-07-29T19:08:19,us,Google Play,0
39a82af1-09ec-4d99-9818-cda4fc117118,Dale Fugate,1,,"I dont understand what is going on with this app. Everytime I try to do anything it constantly says my printer is not connected to the wifi, but it is. I cant print, copy, or scan anything. This needs to be fixed.",26.2.0.6624,2026-07-29T18:19:31,us,Google Play,0
267ea794-65de-4349-a3a3-282e737f53ec,Jake Auslander,5,,works great,26.2.0.6624,2026-07-29T16:35:05,us,Google Play,0
323a70e3-3be4-40d0-a0b2-cfd3a48841fd,Nicole Tipton,5,,Wonderful service,26.2.0.6624,2026-07-29T13:27:39,us,Google Play,0
0fcff360-d447-4b25-b409-5b0ca33660fe,Ashley Brady,5,,"I love how convenient the HP All in One Printing Monthly plan allows you to connect to your printer through this App, just as if you were using a laptop and you gain access to alot of print settings that you would not have been able to access otherwise and then you can print anything straight from your phone, email, photos, etc. Keep up the creativity HP, two thumbs up from this happy customer.",26.2.0.6624,2026-07-29T12:55:02,us,Google Play,0
5a3af36b-0717-49e7-94f6-8f2559e9f46b,amir salemian,1,,"HP Smart detected my printer, then showed a cartridge error even though I had printed successfully a few minutes earlier using another app. After that, the printer got stuck on ""Initializing..."" and the display went blank until I unplugged the network cable. Another app printed normally. Very worrying experience.",,2026-07-29T09:42:46,us,Google Play,1
bf999262-0583-4b69-ba29-6760ed05a0d1,Joanne,1,,for some reason it is not letting me connect my printer tried it on 3 different devices and not working anymore,26.2.0.6624,2026-07-29T09:38:33,us,Google Play,0
2d401185-0b02-4699-881d-73974f338399,Manjula Ekambaram,1,,I bought this printer for my competitive exam preparation but I ended up writing everything.. such a frustrating app and device.,26.2.0.6624,2026-07-29T06:05:03,us,Google Play,0
520faeea-19ce-46d3-a2e3-aefc0f0dacf5,Rebecca R,1,,app doesn't show HP Smart Tank 7302 as an option for set up.,26.2.0.6624,2026-07-29T05:30:54,us,Google Play,0
1794e170-662a-4577-8fab-f10a631ceaca,Randy Allen,4,,"App works well, it has many options available.",26.2.0.6624,2026-07-29T02:55:24,us,Google Play,0
2ed6291c-23c4-4c7f-a6f5-b5c11ff60a01,J L F,1,,HP sucks,26.2.0.6624,2026-07-29T01:09:41,us,Google Play,0
684d7145-0839-4b92-b6e1-dfb5a688c500,Donald Byers,1,,how do printers manage to get worse,26.2.0.6624,2026-07-29T00:36:36,us,Google Play,0
d1d070a7-c996-4ece-bf8a-6adbf0e0798e,Marguerite Johnson-Newson,5,,very easy-to-use and reliable 👏,26.2.0.6624,2026-07-28T21:52:35,us,Google Play,0
15a846a9-7e32-4772-aaf5-9adf78ff9a15,John Macdonald,1,,since last update printer is disconnected all the time. takes forever to get it connected to allow us to print.,26.2.0.6624,2026-07-28T20:22:09,us,Google Play,1
8a4254c9-4f08-4d8a-947a-03fcb7bef95c,P Morrison,1,,hp does not recognize my printer S/N,26.2.0.6624,2026-07-28T18:44:40,us,Google Play,1
7209e9a4-be21-4c34-838b-ed8eb372c7c3,Karen Deich,5,,it's a great fax machine!,26.2.0.6624,2026-07-28T17:33:43,us,Google Play,0
8e19c43f-d65a-4226-8b53-2515e514bfe5,BMW E60,1,,Hi Hp I'm using your application for many years but what is happening these days driving me crazy I print and the paper comes out empty choose colour same problem choosing black and white same problem empty paper the app is up to date wonder 🤔🤔 why ??,,2026-07-28T15:59:16,us,Google Play,1
84defdbd-10a5-4e85-9cf3-81b7025fe5bd,Carlos Torres,1,,poor,,2026-07-28T15:14:37,us,Google Play,1
cd11d0c7-bc63-4cd7-a9db-33a84f6685da,Anudeep Neelagandan,5,,A must have app for HP all in one ink tak printers.,26.2.0.6624,2026-07-28T13:58:41,us,Google Play,0
