id,author,rating,title,content,version,date,country,platform,vote_count,reply_content,reply_date
3800cba5-15dc-4874-a0e7-4ee0ffe52646,Kathryn Lynn,3,,"I don't use my phone to print anything usually but today it was necessary. I had an issue getting to my normal printer dashboard and fumbled around a bit. I finally figured it out but became a bit flustered in the process. Ease of use on my phone was the deciding factor of the 3 stars, otherwise you're worth 5.",20.2.0.6076,2026-01-20T09:34:09,us,Google Play,0,,
74009b87-9ee4-41c0-b76f-92a0ec5a20ed,Kayla Kaltenbaugh,1,,"Awful NOT USER FRIENDLY. Why in the heck is it so difficult to change the wifi on your printer? ""OH, just go in the app. It is SUPER easy."" Bold LIES. Where is the easy? At this point I've got a useless printer and will be switching brands just because you absolute demons make it impossible to change the wifi.",20.2.0.6076,2026-01-20T08:14:22,us,Google Play,0,,
18b921a5-be74-4e13-a77b-8573ece0e7f9,Bobby Dogan,5,,Great Printer,20.2.0.6076,2026-01-20T07:53:16,us,Google Play,0,,
e2360dd6-512a-4ef2-ac07-f33143616552,M/s: Mona Enterprise,5,,good,20.2.0.6076,2026-01-20T06:32:54,us,Google Play,0,,
1d86ed2b-295b-41a8-aff1-a438a6536151,Maurice Brown,5,,good,20.2.0.6076,2026-01-20T05:37:15,us,Google Play,0,,
38e2a620-6a2d-4c3e-bc11-28a35f3a69e6,Divyanshu Singhania,5,,"Best one of the app for all brands printers just one small thing missing that manual or auto duplex option, which provide by noko print app",20.2.0.6076,2026-01-20T05:12:12,us,Google Play,0,,
ef67cb79-5daa-4003-8d4a-e52230c53878,Arslan Irshad,4,,app is good but slow. It process scanning slowly,20.2.0.6076,2026-01-20T02:12:42,us,Google Play,0,,
f6bf65bf-8d7c-4d47-8e38-c231fb506003,Amit Classes,5,,suppperb,,2026-01-19T23:51:45,us,Google Play,0,,
51592b2c-230f-4e75-bb8b-ba8bd9ce4cf2,Lynn Rank,2,,duh? .,20.2.0.6076,2026-01-19T18:26:58,us,Google Play,0,,
1304168c-b164-44db-a6b1-56cede3a3402,Derek Rosol,1,,terrible app. terrible printer. always goes offline,20.2.0.6076,2026-01-19T18:02:48,us,Google Play,0,,
bab6c75c-c18f-42cb-b430-6017bf3c4bce,Audrey Moore,1,,this app has and bug,20.2.0.6076,2026-01-19T17:38:21,us,Google Play,0,,
35696936-d6d3-47e5-8b46-16b96ddadc98,Malika Payne,5,,@very difficult!,20.2.0.6076,2026-01-19T12:00:50,us,Google Play,0,,
c826ad59-ab67-4131-a307-0472696e086b,Beverly Frierson,5,,good and easy yo install,20.2.0.6076,2026-01-19T10:49:56,us,Google Play,0,,
d0e61dff-1468-47e1-878c-50d7db23444c,Dr. Govarththanan,5,,good app,,2026-01-19T09:59:22,us,Google Play,0,,
5ab582e1-f573-461f-85d6-01eba7c596c8,William Breil,1,,new app does not allow full access to scan and copy functions. What kind of upgrade is this.,20.2.0.6076,2026-01-19T09:21:22,us,Google Play,0,,
347c1627-5534-45a7-a055-787c7c02b8be,Billy Randolph,1,,trying to hook up my WIFI to my envy6000printer on my Chromebook laptop computer it started out working then quit ! try to reset it back upa ndthe app is no longer useWht the hay do I do with this useless printer,18.10.0.5530,2026-01-19T07:32:32,us,Google Play,0,,
703bb398-957d-4ca5-a2f5-08a154bdadc7,Lupe Pena,5,,awesome,20.2.0.6076,2026-01-19T07:01:44,us,Google Play,0,,
ce59eb36-c77b-48b6-a24c-b1db60524233,Callum V,1,,"Very poor quality app, has turned me away from HP products entirely. It's overcomplicated and seems to do anything but let you print. Every time I use it it's forgotten who I am, and it tries very hard to trick you into signing up for unnecessary subscription services.",20.2.0.6076,2026-01-19T05:43:42,us,Google Play,1,,
69f69ba2-7d11-458d-8f34-162410760611,Cristian Javier Becerra Diaz,1,,"esta aplicación es lo peor que han podido hacer, la impresora solo se puede configurar si tienes la aplicación y actualmente tengo un problema para iniciar sesión a pesar de ingresar bien mis datos de usuario y simplemente me aparece que hay problemas y no puedo ni ingresar ni imprimir ni nada de nada... felicidades por tan nefasto ecosistema Hp",20.2.0.6076,2026-01-19T05:07:28,us,Google Play,1,,
c8ed5e7c-bc2d-41e6-9caf-e6edb3fe7e29,shruthi a,1,,"lag, slow loading",20.2.0.6076,2026-01-18T23:21:09,us,Google Play,1,,
01d887a3-e5d2-4598-a49a-1ac524050f7d,Radhakanta Pradhan,5,,this is conection very easy,,2026-01-18T17:36:09,us,Google Play,0,,
39e18ed6-849e-482f-954b-0818976bde5d,Randall McGee,5,,not easy,20.2.0.6076,2026-01-18T17:15:53,us,Google Play,1,,
fbf276c6-2e53-48a9-9e95-60efa21b62ae,Hamid Riaz,2,,"App works fine but new UI landing page doesn't actually show any printer functionality.you have to scrol down the page or tap an icon, to do something. Very unintuitive.",20.2.0.6076,2026-01-18T12:49:50,us,Google Play,1,,
109aefc5-94f1-4f41-8849-eb037652b8d5,Martell Fowler,1,,"I can't do anything from this app. I just spent 45 minutes trying to print 2 pages of a document. 2 pages!!! and in the end, I still have not gotten this app to work for me.",20.2.0.6076,2026-01-18T12:10:06,us,Google Play,2,,
db61ca3e-cfdf-4153-9bb5-1b3abc9c63b0,Tom Grabo,1,,with the new updates I can no longer connect to my printer. ridiculous.,20.2.0.6076,2026-01-18T09:05:51,us,Google Play,2,,
4ab44bf8-4e9c-4892-a69c-875c65007725,Ian Davies,1,,rubbish. printer won't talk to new router and app just keeps asking you to join a plan. I just want to print a chuffin document for heavens sake.,20.2.0.6076,2026-01-18T05:51:26,us,Google Play,1,,
f634b99b-e98c-4d7a-bf10-ef0c97fdd481,Nhat-Thanh Kim,1,,"why do i need location, bluetooth, and other random nonsense permission for this to connect my printer in my own house.",20.2.0.6076,2026-01-18T05:31:47,us,Google Play,1,,
8f87f926-bf39-4f24-9088-9abeb7d7fdb6,Mari Milliam,5,,very effective,20.2.0.6076,2026-01-18T04:48:23,us,Google Play,0,,
243384a1-f9f9-4536-81e2-37107ab25dc7,Hema Latha Nadendla,1,,it is not at all good,20.2.0.6076,2026-01-18T04:08:08,us,Google Play,1,,
